datetime,Buy=1/Sell=0,RSI of first peak,RSI of 2nd peak,Price angle,RSI angle,Price of first peak($),Price of 2nd peak($),Peak to peak duration(HOUR),SL(%) in 48 hours,SL Duration (Hour),TP(%),TP Duration(HOUR),Closing %,Profit time dependence (Short time and small profit is acceptable),Profit cout off 2%,Algo Signal few hours before entry (2--6 hours),Algo Signal at entry,RSI Direction Buy/Sell,Signal to RSI true or false,Signal Correct,Signal and RSI both correct,gain=1/ loss=0 order,gain first and Sell,loss first and Buy,loss first and Sell,gain first and Buy,gain first Buy and TP > SL,gain first Buy and TP < SL,loss first Buy and TP > SL,loss first Buy and TP < SL,gain first Sell and TP >SL,gain first Sell and TP<SL,loss first Sell and TP >SL,loss first Sell and TP<SL,avg gain  AB,avg gain  AC,avg gain  AD,avg gain  AE,avg gain  AF,avg gain  AG,avg gain  AH,avg gain  AI,loss AB,loss AC,loss AD,loss AE,loss AF,loss AG,loss AH,loss AI,close,next_24h_datetime,close_next_24h,closing%,Closing Ab,Closing AC,Closing AD,closing AE,closing AF,closing AG,closing AH,closing AI,gain Dur AB,gain Dur AC,gain Dur AD,gain Dur AE,gain Dur AF,gain Dur AG,gain Dur AH,gain Dur AI,loss Dur AB,loss Dur AC,loss Dur AD,loss Dur AE,loss Dur AF,loss Dur AG,loss Dur AH,loss Dur AI
4/3/2023 3:00,1,28.15,29.12,-47,0.161666667,27849,27567,6,1.93%,18,3.70%,7,2.54%,1,1,,,,,,,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.70%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0193,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27738.1,4/4/2023 3:00,27843.7,0.38%,0.003807038,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4/18/2023 3:00,1,23.03,31.97,-12.5,0.745,29235,29085,12,3.18%,44,3.27%,9,-3.18%,1,1,,Weak Sell,buy,0,0,,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.27%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0318,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29431.7,4/19/2023 3:00,30199.9,2.61%,0.026101109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4/20/2023 13:00,1,24.79,28.49,-18.75,0.308333333,28523,28298,12,5.91%,33,0.01%,0,-5.54%,0,0,,Medium Sell,buy,0,1,,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.01%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0591,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28803.9,4/21/2023 13:00,28104,-2.43%,FALSE,-2.43%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/1/2023 7:00,1,26.02,28.01,-19,0.4975,28380,28304,4,3.12%,13,0.94%,36,0.01%,0,0,,Medium buy,buy,1,0,,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.94%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0312,FALSE,FALSE,FALSE,FALSE,28610,5/2/2023 7:00,28045,-1.97%,FALSE,FALSE,FALSE,-1.97%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE
5/8/2023 20:00,1,23.15,25.52,-30.90909091,0.215454546,27600,27260,11,2.72%,45,2.80%,41,1.64%,1,1,,Medium sell,buy,0,0,,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.80%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0272,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27519,5/9/2023 20:00,27636,0.43%,0.004251608,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/15/2023 2:00,0,71.67,66.79,9.111111111,-0.542222222,27184,27266,9,1.83%,15,1.06%,23,0.26%,1,0,,Weak buy,sell,0,0,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.06%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0183,27144.1,5/16/2023 2:00,27067,-0.28%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.28%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15
5/21/2023 2:00,0,71.29,69.93,18.71428571,-0.194285714,27141,27272,7,1.15%,46,2.15%,24,-0.91%,1,1,,weak sell,sell,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.15%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0115,FALSE,FALSE,FALSE,27158.7,5/22/2023 2:00,26640.7,-1.91%,FALSE,FALSE,FALSE,FALSE,-1.91%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,FALSE,FALSE,FALSE
5/25/2023 3:00,1,18.1,27.03,-24.90909091,0.811818182,26162,25888,11,0.13%,5,2.98%,35,2.27%,1,1,,weak sell ,buy,0,0,,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.98%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0013,FALSE,FALSE,FALSE,FALSE,FALSE,26171,5/26/2023 3:00,26425.7,0.97%,FALSE,FALSE,0.97%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE
5/31/2023 17:00,1,24.44,25.6,-16.5,0.116,27028,26863,10,1.73%,9,0.86%,7,0.34%,1,0,,Medium sell,buy,0,0,,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.86%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0173,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27044.3,6/1/2023 17:00,26947.9,-0.36%,FALSE,-0.36%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6/5/2023 12:00,1,24.84,26.83,-14.25,0.4975,26754,26697,4,5.45%,25,2.15%,37,-1.14%,1,1,Strong buy,Medium buy,buy,1,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.15%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0545,FALSE,FALSE,FALSE,FALSE,26684.8,6/6/2023 12:00,25524.4,-4.35%,FALSE,FALSE,FALSE,-4.35%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,FALSE,FALSE,FALSE
