NO,Datetime,Type,first peak/valley value,datetime1,second peak/valley value,datetime2,Duration,RSI MA(14),datetime,entry_price,exit_price,MA20,MA50,MA100,MA200,Result (48h) %,Max TP,datetimeTP,Max SL,datetimeSL
16,4/22/2023 12:00,Buy,39.47145798,4/22/2023 0:00,44.552018,3/27/2023 14:00,610:00:00,48.68998788,4/22/2023 12:00,27325.1,27431.4,27574.385,27561.788,27738.382,28480.015,0.39%,2.469890321,4/24/2023 1:00,-0.677399168,4/24/2023 8:00
17,4/26/2023 17:00,Sell,60.94986189,4/26/2023 12:00,64.9839273,4/18/2023 11:00,193:00:00,44.05242444,4/26/2023 17:00,29713.3,29225,28866.99,29141.118,29216.76,28891.1615,-1.64%,8.458501748,4/26/2023 20:00,-0.621607159,4/27/2023 18:00
18,4/30/2023 20:00,Sell,76.97311157,4/30/2023 16:00,64.9839273,4/18/2023 11:00,293:00:00,63.44672539,4/30/2023 20:00,29314.9,28661.5,28707.1,28382.608,28569.476,28646.6735,-2.23%,5.679364419,5/1/2023 20:00,-0.532493715,4/30/2023 21:00
19,5/2/2023 1:00,Buy,28.81148649,5/1/2023 20:00,42.03214978,4/21/2023 23:00,237:00:00,33.81372385,5/2/2023 1:00,27927.2,29057.4,28199.91,28445.398,28801.576,28517.618,4.05%,4.76667908,5/3/2023 22:00,-0.262110058,5/2/2023 5:00
20,5/6/2023 20:00,Buy,42.23079235,5/6/2023 14:00,28.81148649,5/1/2023 20:00,114:00:00,59.91412199,5/6/2023 20:00,28783.5,27519,28860.96,28427.708,28045.237,27450.2235,-4.39%,1.228134174,5/7/2023 1:00,-5.327705109,5/8/2023 20:00
21,5/8/2023 21:00,Buy,37.70547805,5/8/2023 19:00,28.81148649,5/1/2023 20:00,167:00:00,49.64277743,5/8/2023 21:00,27531.2,27497.5,27598.135,27661.732,27267.211,27141.1615,-0.12%,2.781571453,5/10/2023 13:00,-3.140437031,5/10/2023 17:00
22,5/15/2023 21:00,Sell,68.98871426,5/15/2023 17:00,62.04721525,5/15/2023 6:00,11:00:00,55.24421037,5/15/2023 21:00,27352.4,27356.9,27100.905,27032.698,27011.593,26995.9565,0.02%,3.015823109,5/17/2023 14:00,-0.53962358,5/17/2023 21:00
23,5/17/2023 16:00,Buy,28.28534508,5/18/2023 17:00,32.59107659,5/12/2023 5:00,156:00:00,55.95454004,5/17/2023 16:00,26891.8,26822.4,27287.89,27039.502,26992.213,26860.498,-0.26%,2.261655969,5/17/2023 21:00,-2.069404056,5/18/2023 17:00
24,5/19/2023 3:00,Buy,28.28534508,5/18/2023 17:00,32.59107659,5/12/2023 5:00,156:00:00,47.64594298,5/19/2023 3:00,26825,27166.5,26855,26918.834,26906.904,26770.377,1.27%,1.726001864,5/21/2023 0:00,-0.797017707,5/19/2023 15:00
25,5/22/2023 5:00,Buy,30.59489646,5/22/2023 1:00,29.8588885,5/17/2023 11:00,110:00:00,41.50841709,5/22/2023 5:00,26743,26762.3,26846.34,27040.47,26704.872,26982.4605,0.07%,2.933477919,5/23/2023 5:00,-0.369442471,5/24/2023 3:00
26,5/23/2023 16:00,Sell,68.86812501,5/23/2023 4:00,62.04721525,5/15/2023 6:00,190:00:00,73.08692326,5/23/2023 16:00,27219.3,26262.6,26977.005,26558.48,26578.93,27038.717,-3.51%,5.030621654,5/25/2023 1:00,-0.172671597,5/23/2023 17:00
27,5/25/2023 7:00,Buy,35.49868454,5/25/2023 1:00,47.08545181,5/24/2023 14:00,11:00:00,37.31108691,5/25/2023 7:00,26118.9,26715.3,26347.67,26509.458,26897.44,27095.9715,2.28%,3.086270861,5/26/2023 14:00,-0.042497961,5/25/2023 8:00
28,5/28/2023 9:00,Sell,35.05332436,5/28/2023 7:00,68.86812501,5/23/2023 4:00,123:00:00,34.03385912,5/28/2023 9:00,27148.2,27840,27587.98,27704,27476.763,27249.9245,2.55%,0.244951783,5/28/2023 12:00,-4.76569349,5/29/2023 0:00
29,5/31/2023 19:00,Buy,45.93643589,5/31/2023 15:00,53.04518016,5/31/2023 5:00,10:00:00,50.04422371,5/31/2023 19:00,26999.5,27231.6,26929.11,26973.016,27059.927,26739.126,0.86%,1.290394267,6/1/2023 0:00,-1.932998759,6/2/2023 0:00
30,6/6/2023 14:00,Buy,23.4124299,6/6/2023 12:00,31.05672376,6/5/2023 18:00,18:00:00,54.28550276,6/6/2023 14:00,26014.2,26635.8,26799.665,26592.782,26428.381,26151.0635,2.39%,5.305563884,6/7/2023 0:00,-0.392477954,6/6/2023 15:00
31,6/10/2023 16:00,Buy,40.73219036,6/10/2023 5:00,23.4124299,6/6/2023 12:00,89:00:00,46.94250088,6/10/2023 16:00,25580.5,25814.1,25753.265,25821.822,25889.402,25916.2835,0.91%,2.417857352,6/11/2023 20:00,-1.096538379,6/10/2023 18:00
32,6/15/2023 15:00,Buy,37.64578037,6/14/2023 20:00,40.73219036,6/10/2023 5:00,111:00:00,30.25764057,6/15/2023 15:00,24948.4,26399.9,25455.105,25946.416,26214.762,27664.4585,5.82%,7.822545734,6/17/2023 5:00,-0.121049847,6/15/2023 16:00
33,6/17/2023 16:00,Sell,62.7523363,6/17/2023 5:00,46.52770169,6/16/2023 19:00,10:00:00,46.88217239,6/17/2023 16:00,26461.3,26489.7,26501.685,26482.658,27214.524,28809.7635,0.11%,0.870705521,6/18/2023 23:00,-0.937595659,6/18/2023 20:00
34,6/20/2023 8:00,Sell,32.47313396,6/20/2023 0:00,62.7523363,6/17/2023 5:00,67:00:00,18.18385495,6/20/2023 8:00,26743.7,30091.4,27660.94,28882.862,29612.066,30039.196,12.52%,0.410563983,6/20/2023 14:00,-15.2495728,6/21/2023 16:00
35,6/22/2023 4:00,Sell,49.53902724,6/21/2023 19:00,32.1490231,6/21/2023 2:00,17:00:00,47.81354854,6/22/2023 4:00,30338.1,30693.7,30072.605,30284.794,30418.912,30418.538,1.17%,2.762203302,6/22/2023 14:00,-3.829837729,6/23/2023 15:00
36,6/24/2023 4:00,Sell,67.41064096,6/23/2023 15:00,51.48324788,6/21/2023 16:00,47:00:00,51.74352992,6/24/2023 4:00,30693.7,30235.7,30602.005,30563.842,30497.544,30468.6205,-1.49%,2.52071272,6/26/2023 1:00,-1.171250126,6/25/2023 4:00
37,7/4/2023 2:00,Sell,63.6403725,7/3/2023 19:00,50.13328411,6/21/2023 18:00,289:00:00,64.16874648,7/4/2023 2:00,31251.2,30458.9,30963.495,30728.124,30528.288,30435.196,-2.54%,3.44114786,7/5/2023 13:00,-0.088316609,7/4/2023 3:00
38,7/6/2023 12:00,Sell,73.65175508,7/6/2023 8:00,63.6403725,7/3/2023 19:00,61:00:00,52.47711984,7/6/2023 12:00,30588.6,30154.7,30200.875,30221.086,30215.176,30453.9875,-1.42%,2.970387661,7/7/2023 0:00,-0.199420699,7/6/2023 13:00
39,7/16/2023 5:00,Buy,27.99576477,7/14/2023 18:00,47.73725983,7/5/2023 11:00,223:00:00,54.64544011,7/16/2023 5:00,30225,30040.4,30283.14,30198.802,30073.201,29965.189,-0.61%,0.71662531,7/16/2023 14:00,-1.968569065,7/17/2023 18:00
40,7/24/2023 0:00,Sell,73.59919271,7/23/2023 18:00,73.65175508,7/6/2023 8:00,418:00:00,66.47793069,7/24/2023 0:00,30000.8,29155.3,29443.85,29273.544,29290.566,29281.8815,-2.82%,3.902562598,7/24/2023 15:00,-0.037998987,7/24/2023 1:00
41,7/25/2023 1:00,Buy,50.25938793,7/24/2023 9:00,40.49076322,7/17/2023 18:00,159:00:00,44.14332677,7/25/2023 1:00,29070,29384.3,29159.405,29229.99,29265.321,29268.6005,1.08%,2.065703474,7/26/2023 20:00,-0.062607499,7/25/2023 2:00
42,8/1/2023 15:00,Buy,33.73036935,8/1/2023 3:00,40.050224,7/24/2023 14:00,181:00:00,51.04408962,8/1/2023 15:00,28942.9,29244.4,29434.55,29291.866,29210.65,29261.428,1.04%,3.859323012,8/2/2023 1:00,-0.320285804,8/1/2023 16:00
43,8/2/2023 8:00,Sell,73.04483572,8/2/2023 1:00,62.68914976,6/23/2023 18:00,943:00:00,55.64753417,8/2/2023 8:00,29481.5,29172.1,29261.68,29218.214,29149.116,29271.524,-1.05%,1.951054051,8/2/2023 16:00,-0.398555026,8/2/2023 12:00
44,8/9/2023 2:00,Sell,63.90153314,8/8/2023 20:00,73.04483572,8/2/2023 1:00,163:00:00,59.84222087,8/9/2023 2:00,29680.1,29362.7,29701.785,29580.838,29495.162,29364.5805,-1.07%,1.268189797,8/10/2023 17:00,-1.582204912,8/9/2023 13:00
45,8/14/2023 3:00,Buy,65.23793876,8/14/2023 23:00,40.49076322,7/17/2023 18:00,677:00:00,54.77719516,8/14/2023 3:00,29390,29216.7,29426.91,29360.614,28814.19,27446.458,-0.59%,1.00952705,8/14/2023 16:00,-1.156856073,8/15/2023 19:00
46,8/18/2023 23:00,Buy,40.63970557,8/18/2023 16:00,51.7464177,8/18/2023 4:00,12:00:00,44.25191527,8/18/2023 23:00,26042.1,26175.9,25984.18,26059.46,26036.506,26078.1635,0.51%,0.93272048,8/20/2023 20:00,-0.99339147,8/19/2023 7:00
47,8/24/2023 7:00,Sell,57.64647181,8/23/2023 17:00,73.41190285,8/14/2023 16:00,217:00:00,58.64781448,8/24/2023 7:00,26460.7,26039.7,26201.695,26096.876,26062.911,26382.4975,-1.59%,2.669241554,8/25/2023 14:00,-0.406640792,8/24/2023 9:00
48,9/1/2023 19:00,Buy,22.32449593,9/1/2023 17:00,54.92969322,8/31/2023 21:00,20:00:00,41.81967174,9/1/2023 19:00,25637.1,25997.6,25780.59,25839.5,25826.653,25840.177,1.41%,1.864095393,9/3/2023 12:00,-0.311267655,9/1/2023 20:00
49,9/8/2023 7:00,Sell,65.94770233,9/7/2023 22:00,64.09441479,8/23/2023 19:00,363:00:00,53.23812449,9/8/2023 7:00,26244.1,25843,25893.705,25870.984,25740.976,26034.6335,-1.53%,2.339954504,9/8/2023 10:00,-0.052583247,9/8/2023 8:00
50,9/10/2023 19:00,Buy ,49.34099753,9/10/2023 17:00,54.5247008,8/31/2023 20:00,237:00:00,57.67903744,9/10/2023 19:00,25786.7,26052,25727.205,25673.572,25954.471,26276.566,1.03%,2.339954504,9/8/2023 10:00,-0.052583247,9/8/2023 8:00
51,9/12/2023 1:00,Buy,24.37579926,9/11/2023 19:00,32.85477357,9/11/2023 15:00,4:00:00,42.82336049,9/12/2023 1:00,25130.1,26162.3,25889.075,26008.472,26247.182,26511.966,4.11%,5.769575131,9/12/2023 16:00,-0.040190847,9/12/2023 2:00
52,9/15/2023 1:00,Sell,60.36491897,9/14/2023 14:00,58.31788137,9/12/2023 13:00,49:00:00,51.85509385,9/15/2023 1:00,26490,26481.9,26466.19,26510.212,26605.46,26729.092,-0.03%,1.069837675,9/15/2023 14:00,-1.510003775,9/15/2023 23:00
53,9/25/2023 14:00,Buy,46.7067692,9/25/2023 1:00,24.37579926,9/11/2023 19:00,318:00:00,50.99786484,9/25/2023 14:00,26123.4,26184,26282.585,26276.04,26496.551,26935.534,0.23%,2.781031566,9/27/2023 12:00,-0.280974146,9/27/2023 14:00
54,9/29/2023 2:00,Sell,58.81860841,9/28/2023 17:00,63.55354647,9/27/2023 11:00,30:00:00,52.06206995,9/29/2023 2:00,26879.5,27015.6,26943.73,26950.368,27295.436,27450.4385,0.51%,0.946818207,9/29/2023 14:00,-1.309548169,9/29/2023 7:00
55,10/1/2023 17:00,Sell,36.43770957,10/1/2023 9:00,63.55354647,9/27/2023 11:00,94:00:00,43.20945147,10/1/2023 17:00,27061.8,27424,27855.025,27730.018,27639.506,27707.43,1.34%,0.172937499,10/1/2023 20:00,-5.732065125,10/2/2023 14:00
56,10/2/2023 14:00,Sell,61.95600403,10/2/2023 8:00,50.87603719,10/1/2023 22:00,10:00:00,57.77664691,10/2/2023 14:00,28292.4,27376.6,27697.785,27533.496,27575.209,27667.5235,-3.24%,4.133265471,10/3/2023 20:00,-0.415305877,10/2/2023 15:00
57,10/5/2023 15:00,Sell,68.00665428,10/5/2023 13:00,35.97915523,10/1/2023 10:00,99:00:00,41.01698463,10/5/2023 15:00,27540,27926.4,27508.375,27725.904,27769.195,27408.469,1.40%,1.394335512,10/6/2023 13:00,-3.304284677,10/6/2023 21:00
58,10/11/2023 8:00,Buy,51.9647785,10/11/2023 3:00,45.31132308,10/9/2023 12:00,39:00:00,56.60449105,10/11/2023 8:00,27099.9,26783,26903.27,26818.872,26837.558,27466.6305,-1.17%,0.812180119,10/11/2023 10:00,-2.121410042,10/11/2023 17:00
59,10/12/2023 2:00,Buy,38.97574083,10/11/2023 17:00,45.31132308,10/9/2023 12:00,53:00:00,52.50566722,10/12/2023 2:00,26889.9,26889.7,26759.58,26793.06,26872.327,27650.38,0.00%,0.858686719,10/13/2023 21:00,-1.320570177,10/12/2023 17:00
60,10/17/2023 0:00,Sell,57.14810549,10/16/2023 18:00,41.61585064,10/16/2023 5:00,13:00:00,46.26167983,10/17/2023 0:00,28263.9,28370.1,28359.27,28369.324,28695.737,30092.22,0.38%,0.739105361,10/17/2023 4:00,-2.958190483,10/18/2023 4:00
61,10/21/2023 22:00,Sell,54.23816507,10/21/2023 18:00,58.20058687,10/20/2023 10:00,32:00:00,37.38741703,10/21/2023 22:00,29981.6,33358.8,29905.98,30418.818,32328.229,33253.291,11.26%,1.250767137,10/22/2023 7:00,-20.01327481,10/23/2023 22:00
62,10/23/2023 11:00,Sell,33.13709362,10/23/2023 5:00,57.92547298,10/20/2023 11:00,66:00:00,28.02447537,10/23/2023 11:00,30644.4,34195.5,32316.495,33387.718,33851.741,34054.2845,11.59%,0.940139145,10/23/2023 18:00,-17.41753795,10/23/2023 22:00
63,10/24/2023 14:00,Sell,59.17320945,10/24/2023 12:00,33.66635023,10/23/2023 3:00,33:00:00,44.2060271,10/24/2023 14:00,34422.5,34198,33989.26,34295.646,34161.115,34286.5955,-0.65%,3.423632798,10/24/2023 15:00,-2.125935072,10/25/2023 16:00
64,11/2/2023 8:00,Sell,60.27253643,11/1/2023 20:00,58.56415563,10/29/2023 18:00,74:00:00,59.76559628,11/2/2023 8:00,35325.6,34848,34930.325,34721.978,34839.805,35315.538,-1.35%,3.404330004,11/3/2023 10:00,-0.456892452,11/2/2023 10:00
65,11/5/2023 9:00,Sell,41.05906467,11/4/2023 2:00,60.27253643,11/1/2023 20:00,54:00:00,49.83207127,11/5/2023 9:00,35113.2,34799.8,34982.8,34988.882,35305.331,36158.4825,-0.89%,2.156453983,11/5/2023 21:00,-0.973992687,11/5/2023 23:00
66,11/8/2023 5:00,Sell,53.31310381,11/7/2023 20:00,57.08668963,10/24/2023 2:00,354:00:00,34.779273,11/8/2023 5:00,35276.9,36775.8,35450.405,36199.456,36640.025,36666.674,4.25%,0.577998634,11/8/2023 15:00,-9.13629032,11/9/2023 14:00
67,11/9/2023 15:00,Sell,69.59632282,11/9/2023 14:00,48.06829506,10/24/2023 3:00,395:00:00,42.99395656,11/9/2023 15:00,37141.5,37071.5,36642.56,36949.158,36995.298,36729.174,-0.19%,3.895642341,11/9/2023 16:00,-1.153696,11/10/2023 22:00
68,11/14/2023 4:00,Buy,48.45134947,11/14/2023 0:00,38.97574083,10/11/2023 17:00,799:00:00,59.10816991,11/14/2023 4:00,36528,37458,36167.74,36401.32,36452.333,36665.7695,2.55%,4.02978537,11/15/2023 23:00,-5.6989159,11/14/2023 18:00
69,11/16/2023 5:00,Sell,74.41098467,11/15/2023 23:00,49.85718034,10/24/2023 1:00,550:00:00,64.18641131,11/16/2023 5:00,37478.3,36341.2,36737.315,36524.332,36623.578,36884.498,-3.03%,5.315609299,11/16/2023 19:00,-0.447192109,11/16/2023 7:00
70,11/24/2023 18:00,Sell,70.2322876,11/24/2023 15:00,54.43384122,11/19/2023 23:00,112:00:00,54.82923943,11/24/2023 18:00,37728,37233.1,37751.945,37685.486,37483.217,37875.8065,-1.31%,1.595631891,11/26/2023 16:00,-0.56403732,11/24/2023 21:00
71,11/27/2023 2:00,Buy,50.42625975,11/26/2023 14:00,23.66083858,11/21/2023 23:00,111:00:00,50.11145151,11/27/2023 2:00,37299.7,37917,37083.91,37323.532,37592.936,38745.2835,1.65%,2.936484744,11/28/2023 19:00,-1.60778773,11/27/2023 16:00
72,12/2/2023 7:00,Sell,49.66307034,12/1/2023 9:00,54.43384122,11/19/2023 23:00,274:00:00,30.05503658,12/2/2023 7:00,38683.9,41471.9,39034.355,39614.966,41083.515,42440.182,7.21%,0.165184999,12/2/2023 8:00,-8.034608713,12/4/2023 6:00
73,12/6/2023 1:00,Sell,63.51952061,12/5/2023 22:00,43.02903362,12/4/2023 5:00,41:00:00,51.83508748,12/6/2023 1:00,43885.2,43429.9,43883.35,43700.596,43794.849,43009.9415,-1.04%,2.438635349,12/7/2023 9:00,-1.05867126,12/6/2023 10:00
74,12/11/2023 23:00,Buy,35.92705509,12/11/2023 19:00,51.31152371,12/11/2023 2:00,17:00:00,52.82952375,12/11/2023 23:00,41271,42875,41616.35,41627.858,42131.299,42141.1085,3.89%,5.443531778,12/13/2023 22:00,-1.732451358,12/13/2023 2:00
75,12/14/2023 9:00,Sell,55.59944685,12/13/2023 21:00,72.67272824,12/8/2023 21:00,120:00:00,55.97698453,12/14/2023 9:00,42898,42232,42908.33,42548.248,42201.327,42695.568,-1.55%,4.098093151,12/14/2023 13:00,-1.287006387,12/14/2023 17:00
76,12/18/2023 12:00,Buy,36.09565937,12/18/2023 2:00,38.70171881,11/27/2023 14:00,492:00:00,37.16816503,12/18/2023 12:00,40941.2,43008.8,42279.235,42527.074,43163.35,43297.1975,5.05%,6.372065303,12/19/2023 2:00,-0.024669526,12/18/2023 13:00
77,12/19/2023 10:00,Sell,61.40174085,12/19/2023 1:00,72.67272824,12/8/2023 21:00,244:00:00,42.62694132,12/19/2023 10:00,43155,44040.1,42525.385,43143.548,43456.834,43331.4345,2.05%,3.057814853,12/19/2023 18:00,-2.84926428,12/20/2023 15:00
78,12/25/2023 4:00,Buy,40.93474413,12/24/2023 22:00,36.09565937,12/18/2023 2:00,164:00:00,54.58713414,12/25/2023 4:00,43133.6,42335.6,43445.89,42969.516,42942.755,42882.631,-1.85%,1.660886177,12/25/2023 13:00,-3.562420016,12/26/2023 17:00
79,12/27/2023 3:00,Buy,32.41104052,12/26/2023 17:00,38.33417641,12/25/2023 0:00,41:00:00,41.8806542,12/27/2023 3:00,42274.7,42738.1,42925.445,42905.736,42578.28,43122.5105,1.10%,3.726342233,12/28/2023 0:00,-0.358606921,12/29/2023 1:00
80,1/2/2024 13:00,Sell,64.49105351,1/2/2024 8:00,50.78308538,1/2/2024 0:00,8:00:00,61.95511609,1/2/2024 13:00,45686.3,43344.2,45199.04,43951.864,43883.53,44549.173,-5.13%,11.71751707,1/3/2024 12:00,-0.358313105,1/2/2024 14:00
81,1/4/2023 0:00,Buy,36.03082009,1/3/2024 14:00,37.12918382,12/11/2023 20:00,546:00:00,47.03527569,1/4/2023 0:00,16655.6,16852.1,16827.155,16824.916,16853.62,17085.032,1.18%,1.975311607,1/4/2023 19:00,-0.019813156,1/4/2023 1:00
82,1/9/2024 5:00,Sell,56.44937131,1/8/2024 19:00,50.78308538,1/2/2024 0:00,163:00:00,55.02633108,1/9/2024 5:00,46721.4,46073.9,46518.64,46191.142,45705.949,44250.958,-1.39%,5.200828742,1/10/2024 13:00,-2.950682129,1/9/2024 21:00
83,1/11/2024 15:00,Sell,79.38484856,1/11/2024 14:00,55.67968694,1/8/2024 18:00,68:00:00,71.74369257,1/11/2024 15:00,46813.4,43159.7,46227.685,44555.894,43632.392,42984.957,-7.80%,11.62786723,1/12/2024 22:00,-0.539161864,1/11/2024 16:00
84,1/13/2024 11:00,Buy,41.32155238,1/12/2024 22:00,36.03082009,1/3/2024 14:00,224:00:00,51.52182732,1/13/2024 11:00,42631.9,42699.9,42822.765,42737.15,42791.456,42294.67,0.16%,1.504741754,1/13/2024 15:00,-2.154255382,1/14/2024 23:00
85,1/19/2024 18:00,Buy,21.05882741,1/19/2024 16:00,37.45582721,1/18/2024 20:00,20:00:00,53.93641685,1/19/2024 18:00,41810.6,41680.1,41636.095,41661.038,40937.859,40803.953,-0.31%,0.924167556,1/19/2024 20:00,-0.853850459,1/20/2024 9:00
86,1/23/2024 21:00,Buy,36.6915736,1/23/2024 11:00,37.45582721,1/18/2024 20:00,111:00:00,45.73006665,1/23/2024 21:00,39216.6,39917.8,39891.54,39915.232,40641.469,41685.279,1.79%,3.427120148,1/24/2024 10:00,-0.06782842,1/23/2024 22:00
87,1/27/2024 0:00,Sell,38.17597818,1/26/2024 11:00,79.38484856,1/11/2024 14:00,357:00:00,39.59398426,1/27/2024 0:00,41772.8,41952.1,41750.19,42023.292,42493.68,42684.8915,0.43%,0.987963459,1/27/2024 9:00,-2.545196875,1/28/2024 5:00
88,1/30/2024 11:00,Sell,49.20969422,1/29/2024 16:00,61.75931763,1/28/2024 4:00,36:00:00,59.62180716,1/30/2024 11:00,43513.4,42075.9,43218.12,42835.016,42921.518,42922.4545,-3.30%,3.784121673,2/1/2024 1:00,-0.860884233,1/30/2024 12:00
89,2/8/2024 21:00,Sell,37.97816055,2/8/2024 15:00,36.61742258,2/8/2024 0:00,15:00:00,30.09278134,2/8/2024 21:00,45298.3,47934.2,46333.68,46940.274,47715.481,49467.985,5.82%,0.217005936,2/8/2024 22:00,-6.472649084,2/9/2024 18:00
90,2/11/2024 20:00,Sell,55.55584412,2/11/2024 3:00,51.71058914,2/9/2024 13:00,38:00:00,37.74038796,2/11/2024 20:00,48020.2,49395.4,48247.685,49108.434,50264.862,51078.8955,2.86%,0.662637807,2/12/2024 6:00,-5.015805848,2/13/2024 1:00
91,2/15/2024 8:00,Sell,51.02355916,2/14/2024 14:00,50.50327909,2/12/2024 15:00,47:00:00,51.43707589,2/15/2024 8:00,51960.1,51764.2,52065.575,52032.024,51913.782,51773.3315,-0.38%,1.203230941,2/15/2024 21:00,-1.729981274,2/15/2024 14:00
92,2/17/2024 17:00,Buy,30.81954394,2/17/2024 14:00,42.55629932,1/31/2024 10:00,412:00:00,42.89997457,2/17/2024 17:00,51245.9,52188.4,51627.765,51903.46,51816.49,51611.4135,1.84%,2.511420426,2/19/2024 7:00,-0.147719135,2/17/2024 18:00
93,2/27/2024 16:00,Sell,37.62079102,2/27/2024 14:00,41.92193255,2/27/2024 2:00,12:00:00,30.15568723,2/27/2024 16:00,57084.1,62235.4,57555.195,60156.688,61033.937,62946.1685,9.02%,0.803726432,2/27/2024 21:00,-12.64082293,2/28/2024 17:00
94,3/5/2024 4:00,Sell,59.60728152,3/4/2024 23:00,56.28452433,2/28/2024 16:00,127:00:00,56.9082615,3/5/2024 4:00,67450.1,65905.5,65772.585,65895.318,66743.113,68650.4925,-2.29%,12.36187937,3/5/2024 19:00,-2.816748974,3/5/2024 15:00
95,3/6/2024 3:00,Buy,27.83687445,3/5/2024 19:00,14.76913997,2/26/2024 9:00,202:00:00,46.28681765,3/6/2024 3:00,63323.6,67219.9,66355.62,66653.072,67465.121,69528.7775,6.15%,7.544896374,3/7/2024 17:00,-0.016265658,3/6/2024 4:00
