NO,Datetime,Type,first peak/valley value,datetime1,second peak/valley value,datetime2,Duration,RSI MA(14),datetime,entry_price,exit_price,MA20,MA50,MA100,MA200,Result (48h) %,Max TP,datetimeTP,Max SL,datetimeSL
1,3/10/2023 11:00,Buy,50.55234709,3/9/2023 20:00,45.70034483,2/5/2023 17:00,771:00:00,41.37025526,3/10/2023 11:00,19750,20435,20115.305,20195.346,21622.806,23616.921,3.47%,4.681012658,3/11/2023 1:00,-0.506329114,3/10/2023 14:00
2,3/13/2023 7:00,Sell,35.89681004,3/13/2023 0:00,59.28474467,2/26/2023 20:00,340:00:00,29.31079621,3/13/2023 7:00,22451.6,24892,23452.19,24307.794,24591.147,26033.0425,10.87%,2.884426945,3/13/2023 9:00,-17.98669137,3/14/2023 13:00
3,3/14/2023 5:00,Sell,44.28174182,3/13/2023 19:00,42.52679519,1/21/2023 8:00,1235:00:00,53.86969429,3/14/2023 5:00,24324.1,24345,24952.705,24704.482,25354.642,26535.1615,0.09%,1.79287209,3/15/2023 17:00,-8.903926558,3/14/2023 13:00
4,3/14/2024 19:00,Sell,72.58949811,3/14/2023 16:00,44.28174182,3/13/2023 19:00,21:00:00,55.55935637,3/14/2024 19:00,69500.4,66969.1,69144.98,68794.132,68086.61,66493.776,-3.64%,5.640830844,3/15/2024 9:00,-4.315946383,3/15/2024 0:00
5,3/17/2023 13:00,Sell,49.16058882,3/17/2023 11:00,72.8751782,3/14/2023 15:00,68:00:00,40.83154299,3/17/2023 13:00,26453.2,27166.9,27032.295,27132.95,27503.122,27660.6265,2.70%,1.259582962,3/17/2023 14:00,-4.952897948,3/17/2023 22:00
6,3/18/2023 9:00,Sell,58.54847267,3/18/2023 0:00,49.16058882,3/17/2023 11:00,13:00:00,50.94301629,3/18/2023 9:00,27390.8,28190.5,27256.89,27465.304,27715.681,27720.5275,2.92%,3.049564087,3/18/2023 16:00,-3.988200418,3/20/2023 9:00
7,3/19/2023 23:00,Sell,59.3651813,3/19/2023 18:00,49.16058882,3/17/2023 11:00,55:00:00,49.32937751,3/19/2023 23:00,27955.7,28091.1,27823.405,27884.298,27893.521,27741.063,0.48%,2.987226219,3/20/2023 3:00,-1.886913939,3/20/2023 9:00
8,3/22/2023 19:00,Sell,64.198719,3/22/2023 16:00,59.3651813,3/19/2023 18:00,70:00:00,38.7216058,3/22/2023 19:00,26654.1,27811.3,27397.245,27805.274,27690.327,27724.918,4.34%,0.24048833,3/22/2023 20:00,-7.964628331,3/23/2023 15:00
9,3/23/2024 5:00,Buy,31.22474005,3/22/2023 19:00,54.91703382,3/7/2023 20:00,359:00:00,44.95416171,3/23/2024 5:00,64106.6,67395,64797.335,65370.47,67635.919,68862.1175,5.13%,5.73014323,3/25/2024 5:00,-0.443948049,3/24/2024 4:00
10,3/26/2023 20:00,Sell,64.97121333,3/26/2023 13:00,64.198719,3/22/2023 16:00,93:00:00,62.41631862,3/26/2023 20:00,27761.3,27293.8,27752.04,27315.808,27750.629,27974.235,-1.68%,4.615417866,3/27/2023 15:00,-1.358005569,3/26/2023 23:00
11,3/29/2023 17:00,Sell,54.35921702,3/29/2023 8:00,64.198719,3/22/2023 16:00,160:00:00,52.27588355,3/29/2023 17:00,28245.2,28326.4,28492.86,28272.276,28325.227,28206.037,0.29%,2.638324388,3/31/2023 7:00,-3.326582924,3/30/2023 2:00
12,4/11/2023 20:00,Sell,56.354931,4/11/2023 13:00,54.9925072,4/11/2023 1:00,12:00:00,50.39926173,4/11/2023 20:00,30148.4,30233,30036.545,30085.282,30270.108,30046.7315,0.28%,1.752663491,4/12/2023 15:00,-1.660121267,4/13/2023 15:00
13,4/14/2023 11:00,Sell,69.73997392,4/14/2023 6:00,54.9925072,4/11/2023 1:00,77:00:00,53.71935842,4/14/2023 11:00,30790,30220.1,30409.5,30348.614,30097.92,29337.7035,-1.85%,2.809353686,4/14/2023 16:00,-0.162390386,4/14/2023 12:00
14,4/18/2023 2:00,Buy,36.50126153,4/17/2023 15:00,51.17678376,2/10/2023 12:00,1587:00:00,49.00705014,4/18/2023 2:00,29453.2,28734.4,29979.46,29689.816,28899.58,28250.688,-2.44%,3.486208629,4/18/2023 12:00,-3.041774748,4/19/2023 23:00
15,4/19/2023 0:00,Sell,64.9839273,4/18/2023 11:00,58.39774296,4/14/2023 1:00,106:00:00,69.53795682,4/19/2023 0:00,30306.4,28279.4,29625.62,29046.756,28342.361,28147.8185,-6.69%,7.6663675,4/20/2023 19:00,-0.09271969,4/19/2023 1:00
