Date,Open,High,Low,Close,Volume
5/30/2024 0:00,67686.8,67877,67580,67619.1,3017.704
5/29/2024 23:00,67720.6,67775.3,67606.6,67686.7,2724.761
5/29/2024 22:00,67737,67882.2,67639.4,67720.6,2842.41
5/29/2024 21:00,67516.3,67860.5,67362.9,67737,4914.747
5/29/2024 20:00,67316,67547.1,67179.4,67516.3,4079.864
5/29/2024 19:00,67444.5,67790,67263.8,67315.9,4690.797
5/29/2024 18:00,67658.6,67670,67258.7,67444.4,4264.893
5/29/2024 17:00,67594.8,67735.4,67369.1,67658.6,4774.629
5/29/2024 16:00,67421,67767.3,67129,67596.1,12808.56
5/29/2024 15:00,67670.4,67910.1,67321.7,67421,14126.123
5/29/2024 14:00,67921.5,68007.6,67549.4,67670.4,9065.115
5/29/2024 13:00,67944.3,68330.6,67620.3,67921.6,18050.281
5/29/2024 12:00,67816.8,68075.1,67618,67944.3,9834.65
5/29/2024 11:00,68041,68050,67766.3,67816.9,4269.921
5/29/2024 10:00,67951.2,68076,67841.6,68040.9,4061.789
5/29/2024 9:00,67913.6,68085.2,67722.8,67951.2,6278.113
5/29/2024 8:00,67993.7,68046.1,67631,67913.6,11149.109
5/29/2024 7:00,68552.5,68583.1,67975.5,67993.6,10403.013
5/29/2024 6:00,68630.1,68709.4,68506,68552.5,3243.35
5/29/2024 5:00,68884.1,68884.1,68604.5,68630,3712.944
5/29/2024 4:00,68862,68976.4,68777.6,68884.1,4373.628
5/29/2024 3:00,68721.2,68920,68710.4,68862.1,4078.322
5/29/2024 2:00,68604.2,68983,68479.2,68721.2,6626.914
5/29/2024 1:00,68533.1,68765.5,68341.3,68604.2,4315.602
5/29/2024 0:00,68440.4,68648,68302.8,68533.2,3547.064
5/28/2024 23:00,68651.2,68659.8,68378.7,68440.5,3157.607
5/28/2024 22:00,68434.7,68710,68419.4,68650.6,4035.214
5/28/2024 21:00,68368.9,68600.5,68291.5,68434.8,2781.812
5/28/2024 20:00,68466.4,68593.7,68162.2,68369,4635.577
5/28/2024 19:00,67915.9,68657,67902.1,68466.5,12459.276
5/28/2024 18:00,67812.4,68036.9,67273,67915.9,13797.362
5/28/2024 17:00,67748.8,68197,67700,67812.4,6318.573
5/28/2024 16:00,68399.8,68486.4,67731.2,67748.7,9012.253
5/28/2024 15:00,67997.6,68490,67755.9,68399.7,9337.398
5/28/2024 14:00,67822,68274.7,67550,67997.6,16216.701
5/28/2024 13:00,68232.9,68510,67676.1,67821.9,14496.764
5/28/2024 12:00,68411.3,68583.7,68165,68232.9,6931.434
5/28/2024 11:00,68607.3,68703.8,68282.4,68411.3,8608.889
5/28/2024 10:00,68357,68921.6,68281.2,68607.3,12741.275
5/28/2024 9:00,68174,68554.1,68044.3,68357,9529.351
5/28/2024 8:00,67712.1,68282.8,67602.8,68174,9411.681
5/28/2024 7:00,67995.1,68052.4,67690,67712,5923.208
5/28/2024 6:00,68076.2,68122,67800.1,67995.2,4924.445
5/28/2024 5:00,67809,68082.6,67673.4,68076.2,7062.391
5/28/2024 4:00,68070,68153.8,67500,67809.1,11912.627
5/28/2024 3:00,68700.1,68765,67760,68070,19513.118
5/28/2024 2:00,68640.7,68869.2,68429.1,68700.1,12268.351
5/28/2024 1:00,69407.2,69628,68542.2,68640.8,15723.247
5/28/2024 0:00,69461.5,69505,69123.7,69407.2,7039.886
5/27/2024 23:00,69631.2,69631.2,69344,69461.6,4897.315
5/27/2024 22:00,69835.7,69846.3,69588.3,69631.2,3025.422
5/27/2024 21:00,69699.3,69950,69630,69835.7,2877.362
5/27/2024 20:00,69297.9,69774.3,69211.8,69699.3,6869.659
5/27/2024 19:00,70044.7,70183,69100,69298,14800.476
5/27/2024 18:00,70238.5,70316,69926.5,70044.6,5029.901
5/27/2024 17:00,70224.8,70417.5,70085.4,70238.5,5827.972
5/27/2024 16:00,70421.4,70750,70218.9,70224.8,14018.662
5/27/2024 15:00,69548.5,70584.9,69548.5,70421.5,28724.017
5/27/2024 14:00,68951.7,69550,68860,69548.6,12327.341
5/27/2024 13:00,68654.8,69084,68622,68951.7,9849.46
5/27/2024 12:00,68463,68677.6,68401.2,68654.8,4233.858
5/27/2024 11:00,68600.1,68710,68268.7,68462.9,5011.622
5/27/2024 10:00,68615.9,68629.1,68437.1,68600,2959.028
5/27/2024 9:00,68647,68687.5,68451.2,68615.9,4587.958
5/27/2024 8:00,68661,68958.6,68550,68647,6881.119
